51	207
77	206
46	158
89	154
73	148
74	143
81	136
94	133
88	117
78	113
83	105
95	102
43	101
41	98
75	96
37	93
56	93
65	89
58	87
60	86
76	84
80	83
82	83
72	78
12	74
44	74
50	74
23	73
96	73
53	71
8	71
11	69
98	69
52	68
84	67
90	67
18	66
71	65
29	63
36	63
30	62
47	62
17	61
91	60
48	58
55	57
59	57
28	56
40	55
5	55
97	55
92	54
66	52
70	52
87	52
57	51
99	51
101	50
2	50
42	50
31	49
62	49
85	49
86	49
22	48
54	48
20	47
69	47
14	45
38	45
4	45
68	44
63	43
64	43
9	42
10	39
13	39
15	39
19	39
49	39
102	37
16	37
27	37
32	37
3	37
61	37
67	37
100	36
24	36
6	36
21	35
25	35
79	35
93	35
26	34
35	34
39	34
45	34
7	34
33	32
34	29
1	28
